设计人	编号	武将姓名	武将称号	体力值	一技能	二技能	三技能	四技能	五技能	六技能	七技能	八技能	九技能	十技能	设计思路	F&Q
椎锋	10 	程普	三朝虎臣	4	援困：每回合限一次，体力值为1的角色受到伤害时，你可以防止此伤害并失去1点体力，然后若伤害来源不为你，你可以视为对伤害来源使用一张【杀】。	醇醪：出牌阶段限一次，你可以弃置一名其他角色的一张牌并令其选择一项；1.令你弃置一张牌；2.令你摸一张牌并视为使用一张【酒】。若你已对其发动过“醇醪”，你可以令其摸两张牌。									"一技能取自孙策被祖郎军队围困时，程普舍命救出孙策。1点体力象征孙策觉醒条件，每回合一次的保护可以帮助存活，对孙坚同理，1血英魂时也可以保护，同时呼应三朝元老的身份，保护后的出杀反击象征用长矛突围。
二技能取自于程普和周瑜的故事。拆牌代表不和，而如果对方选择令程普摸牌就是周瑜的大度，视为使用酒即为自醉，后续的摸牌代表程普和周瑜既往不咎，和睦相处。实战中可以作为拆桥对敌方使用，也可以作为补牌对己方使用。"	
楚谋	11 	程普	三朝虎臣	4	首勇：锁定技，每回合你首次：造成伤害时，目标本回合非锁定技失效；受到伤害后，伤害来源本回合攻击范围-X。（X为你已损失的体力值）	护危：其他角色的出牌阶段开始时，你可以与其进行拼点：若其没赢，你视为对其使用一张火【杀】；若你没赢，其视为对你造成1点火焰伤害。										
画师EMm	12 	程普	三朝虎臣	5	疠火：当你造成伤害后，你可以对该角色造成等量的火焰伤害，然后你失去一点体力。	醇醪：当你使用牌响应一名角色的牌或其他角色使用牌响应你使用的牌结算完成后，你可以选择一项：1、横置/重置一名未横置/已横置角色的武将牌，令其摸/重铸一张牌；2、令一名角色将一张牌当做【酒】使用（无次数限制），然后其本回合出杀次数上限+1。每回合每名角色限一次，若你本回合没有以此法造成过伤害，当一名角色使用【酒】时，其可以取消之，视为你使用一张【杀】。									与公瑾的友谊也可以变为对敌的决心	
山葫芦	13 	程普	三朝虎臣	4	醇醪：每轮限一次，一名其他角色出牌阶段开始时，其可令你选择是否与其交换一张手牌；若两张牌类别相同，其视为使用一张【酒】。若如此做，其此阶段造成伤害后，你令其下次进入濒死状态时可发动此技能。	荡寇：其他角色回合结束时，你可以弃置任意张牌以补齐本回合进入弃牌堆的牌的花色，然后视为使用一张指定任意名目标的【杀】，且其中本回合受到过伤害的角色不可响应之。										一技能后半段，即成功使用【酒】后，该角色下次进入濒死状态时可交换牌并印【酒】回血，且不占用本轮发动次数。
猫	14 	程普	三朝虎臣	4	疠火:出牌阶段，你可以减少1点本回合的手牌上限并横置一名角色，若为你，你可视为使用一张火【杀】。	醇醪:你的【杀】不计入手牌上限且可于出牌阶段/求【桃】询问中当作【酒】对一名角色使用。你依此使用【酒】时，若此牌为你的初始手牌/不为你本轮内获得的牌，你摸一张牌并令之不计入次数或回复量+1。										
王样好坏	15 	程普	三朝元老	4	三朝:一名角色的回合结束时，若本回合离开牌堆的牌数量为3，你可以视为使用一张火【杀】或【火攻】；进入弃牌堆的牌数量为3，你可以摸一张牌或弃置场上一张牌。										技能主要选用程普三朝元老这个身份，与孙家三代配合度依次递减，也能顺便配合周瑜。孙坚英魂摸一弃一自己摸二就能触发三朝第一段，控一下也能触发三朝第二段。孙策激昂一次触发三朝第一段，孙权基本很难触发。三朝两段是会互相影响的，比如一名角色回合结束两段都符合，你选择先用第一段印杀这个时候别人出闪了进入弃牌堆的牌变成四张了第二段就触发不了了。你先用第二段摸一，这个时候离开牌堆的牌变成四张了第一段就触发不了了。当然也可以在只符合一段的情况下打出另外一段，比如只符合第一段的时候，进入弃牌堆的牌为二，你选择印火攻，火攻弃一张牌，或者印杀别人出闪桃酒达成第二段条件；只符合第二段的时候，离开牌堆的牌只有二，选择摸牌，达成第一段条件。	
殆君尽考场	16 	程普	三朝元老	4	三朝：锁定技，你的准备阶段，若当前轮数大于3X（X为你的体力值），则你回复1点体力摸一张牌。	焚火：当有伤害将生效时，你可失去1点体力，然后此伤害视为火焰伤害。当有角色因受到火焰伤害而死亡时，你增加1点体力上限。									时间酿造老臣。老骥伏枥，〖三朝〗启动。焚尸损寿但平叛积德。老夫也曾激昂过。	"Q：〖三朝〗至少在第多少轮时可以发动。
A：第一轮，若你的准备阶段你处于濒死状态即可发动〖三朝〗"
妙啊	17 	程普	三世虎臣	4	持重：每回合限一次，你的体力值或手牌数变动后，你可以调整体力值或手牌数至变动前，然后令一名其他角色执行相同调整。	扬灰：每局游戏限零次，结束阶段，你可以对体力值为X的角色造成1点火焰伤害。（X为你的体力值）本局游戏你的体力值变动至新数值后，此技能使用次数+1。									程普这人履历长，又全是流水账，身为十二虎臣之首，什么大功业都没有，能挑出来体现个人特色的事迹就一个烧完尸体自己噶了，一个倚老卖老和周瑜不和，难蚌。算了，一技能倚老卖老，二技能烧烧烧烧烧！！！！	"①相同调整
举例：你摸牌阶段摸了两张牌，发动持重需要弃置两张牌，然后你就可以令一名其他角色也弃置两张牌。
②变动到新数值后，此技能使用次数+1
你体力值变动后，若无相同记录，你可以记录此体力值，令此技能使用次数+1。"
江涸	18 	程普	三世元勋	4	虎助：每名角色的准备阶段，若其体力值或手牌数为全场最小，你可以令其跳过判定阶段并回复1点体力。	燃芯：每名角色的结束阶段，若你的体力值不为全场唯一最小，你可以失去X点体力，然后令X名角色各摸4-X张牌（X为此技能本轮发动的次数且至多为2）。									"一技能团队奶爸，孙坚孙策孙权的快节奏打法都是大量消耗牌或者迅速卖到较低血量，作为三世老臣给主公一点增益。
二技能字面意思，为孙氏基业肝脑涂地，同时也能帮助程普更加容易在自己回合开始时触发一技能。"	
伊莎玛拉	19 	郑玄	三书驳论	3	经论：每名角色的准备阶段，其可以声明一种牌的类型，其本回合使用此类型牌时，重铸剩余类型的所有手牌；其本回合每使用一张剩余类型牌，本回合结束后你可以对其使用弃牌堆中其本回合进入弃牌堆的一张剩余类型牌，其无法响应你以此法使用的牌。										"“经论”取自于郑玄一个比较有意思的小故事——“辩驳何休”。何休认为《春秋》三传中只有《公羊》义理深远，而《左氏》与《谷梁》二传则存在严重的缺点，根本不值得研究，“每名角色的准备阶段声明一种类型”，解释为何休认为三传中只有《春秋》意义深远，“其本回合每次使用此类型的牌，便重铸剩余类型的手牌”，即其每一次阅读《春秋》时，对其他传更加不屑一顾，抛弃了其他传加深对《春秋》的理解。有趣的是，何休对《左氏》和《谷梁》不屑一顾，但文章中大肆使用此两传，郑玄便用何休本身的话语去攻讦何休，让他无法反驳，“其本回合每使用一张剩余类型牌，本回合结束后你可以对其使用弃牌堆中其本回合进入弃牌堆的一张剩余类型牌，其无法响应你以此法使用的牌。”便为如此解释。
不过郑玄攻讦何休的同时，何尝不是攻讦了看不起宦官与官员，仅尊学士的自己呢？"	
柠檬	20 	郑玄	三注昌学	3	刊学：当你使用牌后，你可以重铸两张颜色与此牌不同的牌，然后本回合不能使用与重铸牌颜色相同的牌。	敷礼：当你于回合外需要：使用牌时，你可以展示牌堆顶两张牌；打出牌时，你可以摸两张牌并展示之。若如此做，此时机你仅能使用或打出这些牌。									称号“注三礼，兴儒学”；一技“述先圣之玄意，思整百家之不齐”；二技“外重礼，内克己，秉大儒风范”。	
鲲鲲	21 	曹洪	啬私慷公	4	奋踏：转换技，伤害类牌指定目标时，你可为之①增②减一名目标，令之无目标或你参与且被最先结算，若你响应此牌，可令之失效，否则令一名参与者摸一张牌。	"吝珍：一个回合结束时，若中央区内存在初始牌堆中数量至多唯二的牌，你可用点数之和更大的牌替换其中一张并明置之。
你的明置牌若可则指定所有角色为目标。"	"*中央区（每回合弃牌堆）：
一个不属于任何角色的公共无序区域，其中的牌正面朝上。
原应进入弃牌堆的牌（如经使用、打出、弃置等操作）改为置入中央区。"									
殆君尽考场	22 	曹洪	善财难舍	4	检度：剩余可用X次（X初始为2且最大为4），每当你发动一次〖殉财〗后，剩余可用次数+1。你的出牌阶段，你可将一张牌交给一名其他角色，若为：基本牌，你回复1点体力；锦囊牌，你摸一张牌；装备牌，其摸一张牌。	殉财：每轮限两次，其他角色的摸牌阶段，你可摸一张牌，然后其少摸一张牌。若本轮你不是首次发动本技能，你失去1点体力。									吝啬的富家哥们。“摸牌？借牌？不好意思，不给。等我想给的时候再说。”不过太吝啬容易翻车	"Q：出牌阶段，〖检度〗给了曹操一张牌后，此时剩余次数为2，那么还能再次发动〖检度〗给曹操牌吗？
A：可以"
梁清渤	23 	王崇	尚书贞士	3	弘粹：每回合限一次，你可以将任意张牌当一张牌名字数为你以此法使用的牌名字数之和的普通锦囊牌使用。若你以此法至少使用了两张牌，则你可以摸一张牌。	载德：出牌阶段限一次，你可以重铸任意张牌面有相同信息的牌，然后你可以令至多等量名其他角色各摸一张牌。									"王崇在历史上的事迹主要可以归为两项：1.校书撰史；2.宽仁待友。
一技能的思路主要围绕王崇国史修撰，校定文字的事迹入手，使用多张牌当一张牌可以理解为将散乱的事迹编撰成历史记录下来。二技能的思路则是取自王崇交友宽厚的典故，对待友人一视同仁，大家对他的风评都很好，所以技能的表现形式也是群体辅助。"	
燕燕呢喃	24 	曹洪	舍身济主	4	授驹：出牌阶段，你可以将自己区域内的一张装备牌交给一名其他角色并令其使用之，若此牌的副类别为坐骑，该角色下一次受到伤害时，防止之。	循水：出牌阶段限一次，你可以选择一种花色，然后展示牌堆顶上的四张牌，若其中有你选择的花色，你可以弃置一张牌，然后自由分配展示出的牌；若没有，你可以摸一张牌。									"一技能“授驹”很简单，源自曹操被徐荣击破时，没有坐骑，曹洪把自己的马让给曹操坐，为护曹操安全，在技能上，增加了自由度，让可以给的不只有坐骑，这个技能设计的初衷是用自己的装备保护自己的主的安全，同时因为典故里面是坐骑，所以在给副类别为坐骑的装备牌上增加了抗伤的效果。

二技能“循水”也来自同一场战役，源自曹洪带曹操逃离后到了汴水，“水深不可渡，洪循水得船，还奔谯”。此技能以花色代替船，找到了，便可以和其他人一起得到好处，找不到，自己也有所经验，有所学习。"	主上莫虑，洪当奋身以报！
wpwps	25 	石苞	舍污忘僭	4	"薄行：
锁定技，准备阶段，你判定并选择一名其他角色：
红色，你获得判定牌并令其重铸一张牌；
黑色，你失去1点体力除非其弃置一张牌。"	"干用：
结束阶段，你可依次执行前x项（x为本回合你的手牌数或体力变化的阶段数）：
1.获得一张本回合置入弃牌堆的基础牌或装备牌；
2.视为使用一张【杀】；
3.选择一名角色并亮出牌堆中四张花色均不同的牌，其弃置任意张牌并从亮出的牌中获得等量张；
4.令一名角色于你的回合结束后执行一个跳过出牌阶段的额外回合，其只能使用此回合弃置的牌花色相同的牌才能造成伤害直到其出牌阶段结束：
5.将你的体力调整为3。"									"称号和技能名都来自司马师说服司马懿使用石苞的内容，即使藏污纳垢，只要各尽其用即可。因此石苞也获得了一技能这个准负面技。
      一技能源自石苞品行一般，好色【薄行】。以ol的各司马懿和司马师为基础，在面对不利的判定或者被改判时，须有回合外队友挺身而出（泰然牌对于ol司马师意义很小便于弃置），否则就因非议而损失。而一旦判定有利，也可以为队友提供重铸的洗牌能力（ol晋通常以各类重铸为代表之一，对泰然牌来说更是有价值）
不过即使损失了体力也可以配合二技能【干（四声）用】。
       二技能是对石苞各个时期才干也就是干用的表现，1.早期的蛰伏和擢升，2.高平陵参与，3.辅助司马氏（以配合ol司马师司马昭为设计思路），4.淮南三叛出力与多次对抗东吴军队，5.最后面对司马炎猜疑的自保。
       境遇改变则产生反馈，摸牌和出牌阶段手牌数容易变化，也就是对应1.2效果的伪闭月双刀，但在弃牌阶段弃牌或者搭配一技能，则更能发动3.4两个效果。（34效果可以配合队友尤其是ol的晋势力队友，4效果则对克制ol曹爽与各回合内技能的吴国包括孙綝有一定效果）。正常情况下，石苞只有在受到闪电而不死才会导致自己判定阶段的体力变化，对应因为童谣、反间计加儿子误事而误打误撞差点爆发的淮南四叛，在这种情况仍能保存自己并任司徒，对应为5效果调整此时的低血量状态为相对健康状态。
        4效果的使用非常灵活，可用于过牌，控制对手直伤和回合外的手牌数，也可以配合队友补牌或搭配一些出牌阶段外起效的武将（或者提前觉醒，比如ol羊祜，觉醒后直接配合其卫戍）
      （应该不用担心4效果对自己反复使用的情况，执行回合内不弃牌的话，前两项都基本无效化还很难触发3效果，弃牌是1效果加一次大过牌，三国杀在他人判定阶段造成他人手牌数改变的配合较少，伤害一般也是闪电）
       石苞在自己的出牌阶段内用牌能力完全依靠过牌和捡装备，通过灵活的控制弃牌阶段打出尽可能多的效果，最好是需要队友配合，比如ol司马师和司马昭。"	
bilbil爱三连的小僵尸	26 	王平	施奇略以却敌	4	伏威：出牌阶段限一次，你可以令你与一名角色进入连环状态；当一名其他角色受到伤害时，若该角色为连环状态，则你摸两张牌。	营略：出牌阶段限一次，你可以令你攻击范围内的一名角色摸两张牌，若该角色因此手牌数大于你，你获得一张【拓营】；否则你弃置其一张牌。	【拓营】：出牌阶段，对一名攻击范围内的一名角色使用。你获得该角色一张手牌，若此牌为黑色，则直到下个回合结束，你的锦囊牌均视为【杀】且无次数限制;若此牌为红色，则本回合你对你下家使用牌无距离与次数限制。								"一技能“伏威”出自张郃大败马谡时，唯有王平所领的千余人士兵鸣鼓自持，张郃怀疑王平有伏兵，不敢进攻。
二技能“营略”出自延熙七年王平的计略，遣刘护军、杜参军据兴势，王平为后拒，若魏军分兵进攻黄金城，王平率兵前往救援，到时候涪城的救兵就刚好到来。"	"Q：王平发动‘’伏威‘’后，第二回合能否使自己脱离连环状态？
A：不行

Q：【拓营】可否使用【拓营】而转化成【杀】?
A：可以

Q：【拓营】可否使用虚拟锦囊牌而转化为【杀】
A：可以，比如神郭嘉的“佐幸”"
万千纸鹤	27 	左思	十年成赋	3	"华辞:结束阶段，若你本回合使用的牌每满足以下一项，你便摸1张牌，并获得一个“赋”:
1.3种不同类型的牌；
2.3种不同花色的牌；
3.三种不同名称的锦囊牌。"	都赋:游戏开始，你获得魏蜀吴不同势力的“赋”（不同势力的“赋”最多为1）各一个。出牌阶段，你可以用一个“赋”标记一张没有被标记的牌；使用被标记的牌，须额外指定场上所有相对应势力的角色为目标；不为你使用的带“赋”的牌进入弃牌堆时，移除该“赋”，然后你获得一个相应的“赋”，或摸一张牌。	抄赋，锁定技，其他角色使用带有“赋”的牌时，其须弃置一张同类型的牌或两张不同类型的牌，否则你摸x张牌（x为该牌指定的目标数）。								"一技能华辞，来源于左思善写文章且大多辞藻华丽。
二技能都赋，来源于左思最著名的文章《三都赋》，这篇文章中描述了魏蜀吴三个都城的历史，技能中融入了对三个势力的效果。
三技能抄赋，左思在写出《三都赋》后，出现抄《三都赋》的浪潮，就是洛阳纸贵典故的由来，其他角色使用标记的牌，即抄赋的过程，弃置牌为代价。"	
鸠	28 	韦曜	史家秉烛	3	犯匣：一名角色于其回合内首次弃牌后，你可以横置其，然后其结束阶段可以令你使用弃牌堆中其本回合弃置的一张牌。	酩亵：锁定技，你对已横置的角色使用基本牌后摸一张牌，若其已受伤，你需横置自身。若为你，你失去1点体力并令此牌无效。									"此设计更偏向于谏臣而非史官的描写。
【犯匣】的意思是“冒犯君王之匣”，也就是力谏君王之意。但由于皇帝为孙皓，结果往往是起到反效果。“横置”是“约束行动”之意，对于君王铺张浪费的行为加以管束。作为前后期两极分化的君王来说，前期的孙皓或许还会听从韦曜意见，因而欣然接受并给予其一定奖励，收敛自身，回收浪费的牌。而后期的孙皓则开始有加害的意图，这需与二技能结合看待。
二技能【酩亵】，选自韦曜“以茶代酒”的事迹。由于韦曜刚谏的性格，因而对横置且身心已有所残缺的角色用牌（劝谏）也往往祸及自身，给自己套上无形的枷锁。此时孙皓已表现为不耐烦，往往让韦曜在宴会上逼迫其喝酒。而韦曜自然无法胜任，因而被孙皓强行灌酒的结局就是伤害自己。在进入横置状态后，韦曜这一史官也成了献祭东吴朝堂的祭品，没有人可以下得了这艘大船。"	
九芺	29 	王崇	世望贞士	3	蜀著：每个出牌阶段结束时，若你本回合使用过基本牌，你可以把一种花色的所有手牌当作一张任意非延时锦囊牌使用。	厚谊：每个其他角色的结束阶段，若你于本回合失去了至少两张牌，你可以将一张手牌交给其他角色，然后将手牌摸至体力上限。									技能展现了创作典籍和跟朋友交好的性格	
布林	30 	郑玄	守节不移	3	"儒节：转换技，当你失去牌后，
阳：你可以摸一张牌并令你本回合使用的下一张牌无距离限制。
阴：你可以弃一张牌并令你本回合使用的下一张牌无次数限制。"	注经：出牌阶段各限一次，若你的手牌牌名字数均为1或均不为1，你可以重铸这些牌。									"郑玄，东汉末年著名儒学家、经学家。早年师从多人学习，终成一代大儒，晚年坚决不入仕，潜心著述。一技能“儒节”作为转换技，阳状态意为郑玄早年折节下士，四方游学，学即摸牌，游历即使用牌没有距离限制；阴状态意为郑玄晚年守节不仕，屡辞征辟，拒绝征辟即弃牌，潜心著述即使用牌没有次数限制。阴阳状态互相搭配，自然用牌从心所欲。
郑玄在注解儒家经典方面成就颇高，遂有二技能“注经”，可以重铸字数均为一或均不为一的手牌，象征注解较为工整但晦涩的经论。"	
辛拉面	31 	韦曜	寿史滔文	3	史志：每名角色的出牌阶段限一次，其可以将一张手牌至于你的武将牌上。每回合每名角色限一次，其可以将一张手牌当作你武将牌上最上方的牌使用。	驳篡：一名角色使用一张牌时，你可以声明一个数字，然后从你武将牌上的牌里从下往上数到该数字的位置并弃置此位置的牌。若此牌与该角色使用的牌牌名相同，你令其无效。若不相同，你失去一点体力并弃置武将牌上的所有牌。	温故：你的回合结束时，你可以获得你武将牌上最下方的一张牌。									"设计思路：
史志：韦曜武将牌上的牌就是他收集的历史，而“历史”牌堆里最上方的就是时事。人人都可以利用时事，或攻击他人（伤害牌），或完善自我（桃，无中生有），但人人也都可以创造时事，而更早的事情往往会被遗忘。
驳篡：对应的是韦曜反驳孙皓试图改写历史将自己的父亲孙和写成皇帝的典故。此举就要动用历史上的种种事件来反驳，对应了此技能中寻找并弃置同名牌的举动。但因为韦曜的“历史”牌堆里只有最上方的牌可见，所以韦曜必须从游戏开始时每次发动“史志”都记住新置入“历史”牌堆的牌才能有效的发挥此技能。
温故：对应了钻研历史这种学问的复杂性以及收获。"
梁清渤	32 	应玚	书香门第	3	撰征：当一名角色受到伤害后，你可以交给其一张牌，然后本回合其他角色计算与其的距离+1。	愍骥：当场上角色之间的距离发生变化后，若有角色因此脱离另一名角色的攻击范围，你可以摸一张牌。									思路取自百度百科的这一段：应玚处于汉、魏战乱时期，对人民的灾难深感同情，在他的《灵河赋》、《愍骥赋》、《征赋》和《公宴赋》等作品中都有较深刻的反映。这些作品辞情慷慨，深刻反映了汉末社会的动乱和人民流离失所的痛苦，体现了他企盼国家统一的愿望。	
天任	33 	王平	抒殊庶束	4	〖舒澍〗当一名角色于弃牌阶段弃置牌时，你可打出一张【杀】或【闪】，防止之。若中央区内仅有此牌为基本牌，你使用之。	〖倏殳〗当你使用或打出基本牌时，你可令当前回合角色摸并弃置两张牌。若两张牌颜色相同，其本阶段造成的伤害-1。	"Q：中央区？
A：一个不属于任何玩家的公共区域，进入弃牌堆的牌改为进入中央区，每回合结束时将中央区内所有牌置入弃牌堆。"								"称号技能都是“shu”
称号：通过多种手段将敌人束缚住，击破敌军
一技能名：如天降的甘霖，拯救了缺水的马谡，但也只是一点点而已，杯水救不了车薪。
二技能名：轻便的木制兵器，比喻王平的无当飞军，追击和防御都是蜀中一流的存在。"	
布林	34 	王平	疏文善略	4	识略：每回合各限一次，当你需要使用一张普通锦囊牌/成为一张普通锦囊牌的目标时，你可以弃置一张牌名字数小于此牌的牌，视为使用此牌/令此牌对你无效。	飞军：结束阶段，你可以将一张牌当一张无距离限制的【杀】使用，你攻击范围外的角色不能响应之。									"王平是蜀汉后期重要将领，虽识字不超过十个，但是擅长谋略，甚至可以口述书籍颇有意理，因此设计一技能“识略”，可以弃置字数少的牌免疫或使用普通锦囊牌（牌名字数最合适的一集）。
王平统领的无当飞军是蜀汉军队的重要力量，因此设计二技能“飞军”，结束阶段可以印杀，弥补王平因一技能缺少基本牌的问题，同时因无当飞军是弓兵部队，使用杀没有距离限制且距离远的角色反而不能响应。"	
天任	35 	王崇	署曙书蜀	3	〖孰悆〗每阶段限一次，当你不因使用失去手牌时，你可令你本阶段无法再使用牌，防止之。若为回合外，你回复1点体力。	〖枢述〗当牌堆剩余牌数增加后，你可重铸任意张中央区内不含花色的牌并摸一张牌。然后若本回合无法再发动此技能，你于之后结束此轮。	"Q：中央区？
A：一个不属于任何玩家的公共区域，进入弃牌堆的牌改为进入中央区，每回合结束时将中央区内所有牌置入弃牌堆。"								"称号技能名都是“shu”
称号：书写蜀地光辉者
一技能：有谁能够放弃，没有任何人能被我放下。
二技能：论述中央，特指蜀地的历史，牌堆的牌增加时一般是洗牌，意为某政权的结束，结束轮次代表着新的开始。"	
万千纸鹤	36 	韦曜	肆情奋笔	3	述吴：出牌阶段限一次，你可以将一张牌交给一名其他角色，并与其进行一次拼点，若你没输，你随机获得三张吴势力的武将牌，选择其中一个武将技能获得，直到下回合开始；若你没赢，其亦如此。若其拼点牌为你交给其的牌，你获得一个“茶”；否则，其拼点输时，你移去一个“茶”。	肆宴：锁定技，游戏开始，你获得一个“茶”；你使用一张【酒】时，你须失去一点体力，若你拥有“茶”，则改为回复一点体力；每名角色的准备阶段，你视为使用了一张【酒】；当你进入濒死状态，你须移去所有“茶”，并摸等量的牌，然后令“肆宴”失效直至你的下个回合结束。									"述吴，韦曜在撰写吴史时，得到过孙皓的支持，但成也孙皓，败也孙皓，孙皓对于韦曜对他爸的传不满意，韦曜也不惯着，最终韦曜失去恩宠。将一张牌交出，意为将写好的传记送审，他用则表示他满意，你获得茶，视为恩宠；不用则为不满意，拼点输了，表示我不爽啦，我要惩罚你，失去茶，即为失去恩宠。
肆宴，孙皓在位时常常举办宴会，君臣肆饮，韦曜因年老多病，不得多饮，受宠时，孙皓令人将韦曜的酒换成茶，即以茶代酒的典故由来。"	"F：拼点平局怎么办？
Q:当然是你好我好大家一起好啦，一起选技能。"
鱼竿	37 	韦曜	肆情奋笔	3	掾史：每轮各限一次。你可将一张牌当做：目标先卜算2的【无中生有】、获得距离一角色弃置的牌的【过河拆桥】、视为装备着【寒冰剑】的【杀】使用。	宠辱：锁定技。每回合第一张指定你为目标的{【杀】}视为【酒】{【桃】}。其他角色使用牌指定你为目标后，其可弃置一张牌交换括号内容直至此牌结算完毕。									"韦曜与他人和著《吴书》，事无巨细。后晋臣陈寿编纂《三国志》多参考此书，将其中的一些记载提炼为【洞烛先机】，【逐近弃远】，冰【杀】。
韦曜不胜酒力。他受孙皓赏识时，孙皓以温和的茶代替伤身的酒；不再受宠后，孙皓无视他人的奏折将韦曜杀害。"	"酒【桃】及“被【酒】影响的【桃】”，但一般情况下【酒】和【桃】并无关联，因此此处的【桃】和正常【桃】一样。
而酒【杀】，若使用者已经使用过【酒】，则层数会叠加。且此【杀】结算后，使用者的“酒状态”也会消失。
掾史③的【杀】因为【寒冰剑】的关系，所以结算期间攻击范围至少为2。"
孤豹	38 	韦曜	肆情奋笔	3	茗代：其他角色出牌阶段限一次，其可以令你摸X张牌并令你进入【酒】状态（X为你未被废除的装备栏数），然后其废除你的一个装备栏。	芳烈：锁定技，准备阶段，若你装备栏均已被废除，你失去1点体力。当一名角色造成大于1点的伤害后，你摸一张牌，然后交给其一张牌。	书传：每名角色结束阶段限一次，若其装备区内牌数与你相同，你可以视为使用一张基本牌。								技能一取自典故以茶代酒。孙皓每次宴会要求大臣喝至少七升酒，而韦曜最多只能喝两升，也就是说有五升是喝不了的，正好对应装备区五个装备栏。所以其他角色可以让韦曜没有实际喝酒，但进入酒状态，实现代酒。但由于孙皓逐渐憎恶韦曜，每次宴会给他的茶越来越少，这就对应装备区被废除的越来越多，而摸得牌越来越少。装备区被废除，一来象征韦曜距离死亡越来越近（结合2技能崩血），但也意味着随着以韦曜为代表的正直之士被孙皓厌恶，吴国的国运也逐渐衰弱（毕竟本身玩装备就是吴国的一个特色）。技能2是体现韦曜的性格的，其实也是孙皓一朝臣子的写照。前半段自己崩血，代表他们为孙皓竭忠尽智（崩血也能让孙皓多摸牌，在非主公情况下）；而后半段则体现臣子直言劝谏（这里是采用十周年骆统、陆凯等通过加伤来代表直言规谏），但在孙皓眼中满朝敢于顶撞自己的人都是结党营私恶人，都是对自己发动仇海的人。另外，韦曜还曾作为孙休的臣子，跟十周年界孙休也能配合。2技能也能跟自己的13技能配合，牌也是可以给自己的（这里就按照十周年淳于琼那样来处理吧）。技能3代表韦曜负责撰写《吴书》。在每名角色的结束阶段发动，每名角色每局游戏只限一次象征给每个人写一份传记。装备区内牌的数量相同象征两个人国籍相同，只有国籍相同才能被写进《吴书》（这里不想采用十周年华歆、孙茹那样来突出国籍）。此技能可以帮助韦曜回合外打酒杀，配合1技能；也可以吃桃，缓解2技能的负面效果。	
とわこ	39 	韦曜	所言不讳	3	据正：其他角色使用伤害牌时，你可以将一张与此牌类型相同牌名不同的牌置于牌堆顶，然后取消此次用牌。该回合结束时，若没有角色受到伤害，你弃置X张牌并摸等量牌（X为本回合此技能发动次数）。	蔎酿：锁定技，若你的体力值：大于当前游戏轮数，你手中的【酒】视为【桃】；小于当前游戏轮数，你手中的【桃】视为【酒】。									〖据正〗指韦曜总指正孙皓，不合其心意，事后深感忧虑，辗转反侧，因此以弃而再摸表示其来回踱步忧虑。〖蔎酿〗取自韦曜以茶代酒，韦曜不善饮酒，早期孙皓宠幸韦曜，宴席上暗中赐其茶以代酒，后孙皓积怨韦曜，甚至额外强迫其饮酒。	
OKITA	40 	左思	覃思藻密	3	三赋:出牌阶段限一次，你可以弃置一张牌然后声明一种花色（♠️为魏、♥️为蜀、♦️为吴，♣️为晋），然后摸等同于场上该花色代表势力存活角色的牌（若你声明的花色为♣️，则摸两张牌）。若你弃置的牌的花色和你声明的花色相同，你可多摸一张牌（除♣️外其余花色均限一次），然后若你摸的牌中有和你弃置的牌类型且花色均相同的牌，你可以展示这张牌，然后直到你下个回合开始时，你使用“咏史”可以多看一张牌。	咏史:当你受到伤害时，你可以观看牌堆顶的X张牌（X为你已损失的体力值），然后将这些牌均分给任意角色。若其中有与你受到伤害时使用的牌相同类型的牌，你令伤害来源弃置一张牌。									"三赋设计思路:此技能设计来源于左思的著作《三都赋》，其中描绘了魏蜀吴三国都城和平民百姓的生活，其中魏蜀吴的花色均限一次代表魏蜀吴最后均被消灭，而晋代表的花色因为灭三国继承大统所以没有只限一次。左思通过花色选取摸势力存活角色牌代表左思去各国故都观察，体会三国平民的生活。
咏史设计思路:这个技能灵感来源于左思的《咏史八首》，体现了左思对历史的深刻反思与感慨。当左思受到伤害时，可以观看牌堆顶的牌，模拟了左思在历史的洪流中寻找素材与灵感的过程。同时，若其中有与伤害牌相同类型的牌，则模拟了左思从历史中汲取教训，反过来对敌人进行反击的过程。"	
